,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
3,2012-11-21,AMD,1.8899999856948853,1.9199999570846558,1.8600000143051147,1.8700000047683716,7525400.0,2.0,-0.24041114033756972,2.209241505166754,1.8217584414274837,30.130496154343817,-76.81281852593935,29.309942072235568,2.2583333174387614,2.9068333307902017
3,2012-11-21,AMZN,233.83999633789062,238.6699981689453,232.75,238.02999877929688,2959300.0,2.0,-3.2311646718821123,240.60113375167558,219.63786771316816,50.34699522313213,15.011214217923474,0.715624944582831,234.63866780598957,244.44066747029623
3,2012-11-21,BIDU,94.7699966430664,95.0,90.55000305175781,93.23999786376953,6673600.0,2.0,-5.016273878252093,118.46951497321741,87.53248469108924,35.69868072965264,-146.04601003867234,61.53259689381698,105.87499974568685,109.3446662902832
3,2012-11-21,GOOG,333.24591064453125,333.6494140625,328.9669494628906,331.6917419433594,4240234.0,2.0,-6.647268238238894,346.32181608337817,320.6521981988484,45.23975751268901,-59.30711971890531,24.7370517167832,343.22998962402346,351.1404215494792
3,2012-11-21,INTC,19.520000457763672,19.549999237060547,19.229999542236328,14.927492141723633,95636000.0,2.0,-0.48312279953480264,17.353571018137494,14.8410241280417,32.3034321275676,-189.10986048844046,51.78354796348514,16.25418618520101,17.080768807729086
3,2012-11-21,MSFT,26.709999084472656,27.170000076293945,26.670000076293945,22.43045425415039,66360300.0,2.0,-0.5400119866043838,24.946403629070595,21.53594061684005,38.72846769436604,-110.8372086020263,31.458150873625662,23.505464363098145,24.364402929941814
3,2012-11-21,NVDA,2.872499942779541,2.9625000953674316,2.869999885559082,2.732006311416626,42231200.0,2.0,-0.07488983947521266,3.0070785340780852,2.5661396446709994,43.73785104046671,-94.68078167087526,25.219129338750353,2.829016828536987,2.971897574265798
3,2012-11-21,QCOM,62.16999816894531,62.54999923706055,61.880001068115234,47.54750061035156,7841800.0,2.0,0.35875097177103754,48.6949867248008,43.60868949895408,53.69259623063067,112.7113726218887,10.70856973277503,45.976614761352536,46.94708964029948
4,2012-11-23,AAPL,20.256071090698242,20.428571701049805,20.092857360839844,17.654834747314453,272826400.0,4.0,-0.5683650921695644,19.138875064525006,15.84145349535048,44.15848775800554,-40.65325585680594,24.233247899302395,18.136150360107422,19.427660497029624
4,2012-11-23,AMD,1.9199999570846558,1.9700000286102295,1.9199999570846558,1.9500000476837158,8567500.0,4.0,-0.22422183729232703,2.192536218902238,1.8194637219699539,32.38491036189065,-63.6542654759435,21.715518709832367,2.2149999856948854,2.875166666507721
4,2012-11-23,AMZN,239.88999938964844,240.0,236.47999572753906,239.8800048828125,1776800.0,4.0,-2.2394858138243023,241.61840473715543,219.1775974601102,51.303205021054914,47.85517127456229,3.858487089840708,234.2693344116211,244.3733342488607
4,2012-11-23,BIDU,94.81999969482422,97.41000366210938,94.0,96.22000122070312,4649900.0,4.0,-4.764595413101631,116.72492094497761,87.40007905502239,39.12592802560956,-103.6545396316473,45.880283496335956,105.5326665242513,108.99999961853027
4,2012-11-23,GOOG,333.73406982421875,333.7490234375,331.8063049316406,332.7378234863281,1851916.0,4.0,-6.064322333214307,345.7592414645712,320.5980858059366,45.8058990995011,-50.994872190398006,24.503125730856137,341.9660603841146,351.13004404703776
4,2012-11-23,INTC,19.530000686645508,19.84000015258789,19.510000228881836,15.205073356628418,51711900.0,4.0,-0.4824501211362353,17.33692333337433,14.730464724334409,35.38849032660109,-140.5674148174515,38.596173624614664,16.203897698720297,17.018228419621785
4,2012-11-23,MSFT,27.229999542236328,27.770000457763672,27.200000762939453,23.05467414855957,57845700.0,4.0,-0.47785960800601046,24.943015924793983,21.529225286143514,43.95569670572159,-59.654030240622156,14.995998499436366,23.468250846862794,24.32639636993408
4,2012-11-23,NVDA,2.9674999713897705,3.009999990463257,2.952500104904175,2.7504971027374268,27693200.0,4.0,-0.0679783351998875,3.0025203189646117,2.5625858583654058,44.43445533865036,-58.47548112883303,16.873560424628685,2.822026006380717,2.962813945611318
4,2012-11-23,QCOM,62.349998474121094,63.15999984741211,62.20000076293945,48.30501937866211,4803200.0,4.0,0.43833993543837835,48.94478046010801,43.727706417333394,56.043814992967974,135.11445751731407,16.924043225260977,46.046500015258786,46.960051663716634
5,2012-11-26,AAPL,20.56785774230957,21.071428298950195,20.489643096923828,18.211822509765625,630579600.0,0.0,-0.4516028679072406,18.989121464740556,15.915535136211597,47.69279086743322,-6.313470534453205,8.698171061666276,18.08624324798584,19.385337257385252
